"tweet_id","user_description","filtered","text","hashtags"
9274,"Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",TRUE,"45+ #RURAL #Bengaluru #CovidVaccine Availability for 25/04 at 12:30PM
FREE Slots 0
PAID Slots 0","'RURAL', 'Bengaluru', 'CovidVaccine'"
83017,"I believe that there is much more to life than the daily grind. I use spirituality, psychology and human development theory as important ways to look at life",FALSE,"I am telling you, when you have a task to do, you have to focus. Pick out the helpful voices and ignore the trouble… https://t.co/lvqh0f2V7H",NA
40121,"–Official– • Author • Actor, • Singer • CF-L1 Trainer • Fight Choreographer! • 💗💛💙⚒",TRUE,"In just 2 brief hours, I will have received my first microchip :) hit me up for that 5G 💕🤖💉🦠 #SoExcited #CovidVaccine #TeamModerna","'SoExcited', 'CovidVaccine', 'TeamModerna'"
55938,"We are part of @NHSSELondonCCG, responsible for planning, buying and monitoring healthcare services for Lewisham people.",TRUE,"The #COVIDVaccine is the best way to protect yourself, your loves ones and your community from the virus. 

You can #GetVaccinated today at one of our many walk-in clinics. Find one near you 👉 https://t.co/4xKobisGDQ
#Lewisham #LDN https://t.co/UXT5ZFRiEV","'COVIDVaccine', 'GetVaccinated', 'Lewisham', 'LDN'"
91598,"Vubble creates video data training sets and provides AIaaS for video discovery and distribution #TechForGood #MachineLearning #AI #SmartVideo",TRUE,"Australia's vaccine rollout is about to begin. So what happens next? https://t.co/Nl1nwfK8jQ via @abcnews 

🇦🇺🌏💉… https://t.co/dpZByXZC4d",NA
33353,"We’re volunteers. We’re your neighbors.  We’re committed to Democratic values and good government. Bullying is not tolerated.",TRUE,"Gov. Wolf: Vaccine is strategy to fight COVID-19, not shutdowns #COVID19 #CovidVaccine #Omicron 
https://t.co/dDZCsEzAM3","'COVID19', 'CovidVaccine', 'Omicron'"
97931,"Lead developer of REDCap software @VUMChealth",TRUE,"I got my #CovidVaccine today (dose #1). 🎉 So thankful to work at @VUMChealth and grateful for what Vanderbilt means… https://t.co/wDNr7Jxcoj","'CovidVaccine'"
59556,"The Official flag of NI is the Union Flag -     
 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿 🇬🇧 
Always forgive your enemies; nothing annoys them so much.",TRUE,"Danish professor: mRNA vaccine study sends 'danger signals' https://t.co/oRvUeGZW2L via @YouTube 
#bbcnews #skynews @gbnews @Johnincarlisle #CovidVaccine","'bbcnews', 'skynews', 'CovidVaccine'"
5546,"Real estate agent representing clients in Orange County in sunny Southern California! Sellers, buyers, resale homes, custom homes, new homes.",TRUE,"Spoke w/someone who works in a pediatric dept:  says they are seeing HUGE # of blood clots/other adverse affects in kids &amp; data being compiled by Kaiser w/not be shared 'til 2023. Truth matters. https://t.co/0AKkCFzRRX #covid #CovidVaccine","'covid', 'CovidVaccine'"
48901,"We are part of @NHS_NELCCG responsible for healthcare services for people in Hackney and City of London",TRUE,"👻Don’t get a fright this #Halloween. Whether you’re due your first, second or booster, get your #COVIDvaccine ! Book now: https://t.co/RrVHIxzzqF https://t.co/1LsWqrP1GH","'Halloween', 'COVIDvaccine'"
2473,"Bringing together the UK clinical vaccine community to facilitate co-operation within the vaccine arena. Register now for this year's #COVIDvaccine conference!",FALSE,"Joining us next week is Dr Susanne Hodgson, an Academic Clinical Lecturer in Infection at the University of Oxford.… https://t.co/OeId19BZ83",NA
53222,"Editor-in-chief: @bhekisisa_MG. Email: miam@bhekisisa.org. Subscribe to our newsletter: https://t.co/z8Xyzi2e60",TRUE,"5. The @WHO says for a #CovidVaccine to be effective enough to be widely deployed, the efficacy should be at least… https://t.co/vl7KBXLutn","'CovidVaccine'"
42704,"Husband, father, MLA for Rossmere. (Authorized by Official Agent for Andrew Micklefield)",FALSE,"😷 It's been a year since the invisible virus began to affect the world in visible ways. Healthcare workers and teac… https://t.co/ULZ9TVVQQi",NA
17440,"Immunity: Natural/Pure Blood
Vaccination Status:  Uncompromised
Not an Anti-vaxxer, just an 'Anti-Experimental'  so called vax kinda guy!",TRUE,"Let's unseat the unworthy major parties... the only way to change this shitshow is vote them out!!!

#auspol #COVID19Vic #COVID19Aus #COVIDVaccine #COVID19 #auspol2021 #CovidUK #covid19sa #covid19nsw #covid19qld #covid19wa #covid19nt #covid19tas https://t.co/RKEFqjGr4S","'auspol', 'COVID19Vic', 'COVID19Aus', 'COVIDVaccine', 'COVID19', 'auspol2021', 'CovidUK', 'covid19sa', 'covid19nsw', 'covid19qld', 'covid19wa', 'covid19nt', 'covid19tas'"
21514,"UNC Health is proactively focused on healthy-based, personalized care, changing people’s lives for the better.",TRUE,"Pregnant &amp; breastfeeding women have many things to consider relating to their health and the #covidvaccine. We talked to five local moms who got vaccinated to find out why. #COVID19 #delta 

https://t.co/Ch7msBl4gd","'covidvaccine', 'COVID19', 'delta'"
57333,"Reporter @ TEGNA’S FOX43 in PA Capitol region; 2x Edward R Murrow & Emmy Winner; Journalist by day, yoga pants wearer by night. PSU Alum/PGH born/HBG grown",TRUE,"""""We all need to do better,"""" says @SecretaryLevine as nationwide 22,137,350 doses of COVID-19 vaccine have been dist… https://t.co/Q9LtCfgV4x",NA
68746,"i like computers, languages and cute dresses with pockets // she | her",TRUE,"It's Not Where You Start, It's Where You Finish https://t.co/ubjgRugSIK #EndOfYear #endof2020 #2020IsOverParty  #CovidVaccine","'EndOfYear', 'endof2020', '2020IsOverParty', 'CovidVaccine'"
59938,"Welcome to the Official Twitter page of First India Newspaper. 📱Download Official App: https://t.co/xZ74qPVbRa",TRUE,"#FILuknow | Officials working overtime to meet #COVID vax target

READ:https://t.co/Mmzvj7SWcd

#UttarPradesh #Lucknow #COVID19 #CoronaUpdate #COVIDvaccine https://t.co/MkEP5Hz96W","'FILuknow', 'COVID', 'UttarPradesh', 'Lucknow', 'COVID19', 'CoronaUpdate', 'COVIDvaccine'"
55198,"Union Minister for Health & Family Welfare, Science & Tech, Earth Sciences, Govt of India. ENT Surgeon. Chairman, Exec Board, WHO. Author - A Tale Of Two Drops.",TRUE,"For now, If you belong to any of following categories, you should avoid #COVIDVaccination

🔸Had a reaction to previ… https://t.co/3hJBdig4RG","'COVIDVaccination'"
49585,"Your Preferred Source of Instant News from Uganda & East Africa. https://t.co/A7YCKjtLsl Call Us: 0393517291 IJ Complex, Suite IJ4. Mbogo Rd Kiwatule, KLA",TRUE,"Kalungu West MP Pushes for Uganda-UK Talks to Solve Vaccine Shortage
#ChimpReportsNews #COVIDVaccine @mofpedU @MinofHealthUG @MatiaK5 @GovUganda #Uganda #News 
https://t.co/EjzmK3quDP https://t.co/GhekLMzxtH","'ChimpReportsNews', 'COVIDVaccine', 'Uganda', 'News'"
76643,"Life isn't about waiting for the storms to pass. It's about learning to dance in the rain. ❤",TRUE,"#Covid vaccine will be the second life saver by #Russia, Vodka 
will still remain the first!! 
#CovidVaccine… https://t.co/II5Y9GvzgW","'Covid', 'Russia', 'CovidVaccine'"
57193,"Latest news and updates from Nottinghamshire County Council. Not monitored 24/7 but we'll respond ASAP. Other ways to contact: https://t.co/r8wgrDpuvb",TRUE,"💉 Covid-19 vaccines are safe 💉

Did you know that vaccines go through several stages of lab testing and clinical trials before they are given to the public?

If you’re aged 18 and over you can get the vaccine  ➡️ https://t.co/ZZ4B7OQOPG 

#CovidVaccine #StaySafeNotts https://t.co/XD2qhpryTI","'CovidVaccine', 'StaySafeNotts'"
70685,"If something on Odisha is not on https://t.co/tklvVwUTgF, it is unlikely to be elsewhere...

Join us on Telegram:  https://t.co/Hu7tZ0QKiH
Follow us on Facebook: https://t.co/EYZelyrCNf",TRUE,"Russia announces 'world's first' COVID-19 vaccine, Putin's daughter inoculated

#Russia #RussianVaccine… https://t.co/vIqeEK1wWm","'Russia', 'RussianVaccine'"
72652,"In a Time of Universal Deceit — Telling the Truth Is a Revolutionary Act",TRUE,"#Covid19: Researcher blows the whistle on data integrity issues in #Pfizer’s vaccine trial
BMJ 2021; 375

https://t.co/aj3ZvZWGdY

#COVIDTruth #COVIDVaccine #HoldTheLine #LeaveOurKidsAlone","'Covid19', 'Pfizer', 'COVIDTruth', 'COVIDVaccine', 'HoldTheLine', 'LeaveOurKidsAlone'"
95148,"We are @NHSEngland and @NHSImprovement working together in the North West. This account is only monitored between Monday-Friday 9am-5pm.",TRUE,"Planning your next holiday abroad? 
Travel is safer and easier when you’ve had two doses of the #CovidVaccine and a booster dose. Book your vaccine today at https://t.co/yhGKGBC0N9 or find a walk-in vaccine clinic at https://t.co/ozIlGsdtSN https://t.co/O9fPpfHC6Q","'CovidVaccine'"
24210,"22News Investigative Reports @WWLP22News",TRUE,"U.K. approves new COVID-19 vaccine to help stop spread of mutated strain  https://t.co/2fXRSkhdN8  #COVID19 #CovidVaccine #CovidUK","'COVID19', 'CovidVaccine', 'CovidUK'"
80335,"Follow for Breaking News and अनCUT videos that impact you.",TRUE,"India's First: Govt #AEFI Panel Confirms Death Of Person After #CovidVaccine Dose 
https://t.co/iGr4Rp2peK","'AEFI', 'CovidVaccine'"
15872,"ABC4 News and https://t.co/GqycyVe7nH | The latest news, weather, programming information, and special offers from your local station KTVX.",TRUE,"Here's the 4 things you should before getting your kids vaccinated. #COVID19 #COVIDVaccine https://t.co/nzEruSFq02","'COVID19', 'COVIDVaccine'"
92496,NA,TRUE,"Why does Pfizer need full immunity for “possible side effects” #pfizer #brazil #Biontech #CovidVaccine https://t.co/cDhvzeQCMq","'pfizer', 'brazil', 'Biontech', 'CovidVaccine'"
56917,"Your News in Your World on Jacaranda FM. Contact us on 011 063 5746/7/8",TRUE,"'Gen Z' gets the nod to get the jab from Friday
https://t.co/nzGdPWYhuo

#CovidVaccine https://t.co/bZvv1KJXp4","'CovidVaccine'"
14255,"Just an old country doctor and Immediate Past-President of the Ontario Medical Association.",FALSE,"This would seem to be #Manitoba's way of saying F.U. to @JustinTrudeau .  At the very least, a strong vote of non-c… https://t.co/h4FTa5ePdU","'Manitoba'"
37138,"India's first international news journal. Bringing news from around the world. Protecting democracy and promoting free speech.",TRUE,"The """"E484"""" strain is the most dangerous ... Pfizer and Moderna explain why the vaccine is effective against the mut… https://t.co/SFfOfk7ss2",NA
56878,"India's Fearless National Mind",TRUE,"'India Deeply Honoured To Meet Healthcare Needs Of Global Community': PM Modi 
#PMModi #CovidVaccine 
https://t.co/ia9apetebr","'PMModi', 'CovidVaccine'"
66148,"Lawyer turned writer: Original Jurisdiction, https://t.co/t9fbJKZfNZ. Founder, AboveTheLaw/@ATLblog. Author, @SCOTUSambitions. Survivor, #COVID #ventilator.🏳️‍🌈",TRUE,"2/ """"Each casualty is made even more poignant by the celebratory vaccine selfies on my phone and the knowledge that… https://t.co/h9LnZvvtfO",NA
6811,NA,TRUE,"Ok, getting my second dose tomorrow afternoon. I’m so thankful! But I’m so nervous too. I’m worried about side effects. Being alone right now really sucks. Fingers crossed for minimal side effects #CovidVaccine #SecondDose","'CovidVaccine', 'SecondDose'"
38739,"Breaking news reporter at @torontodotcom. @HumberJRNL alum. Sports fan. Story idea? DM or email: adandrea@toronto.com",TRUE,"Good morning, #Toronto.

Today's forecast: 13C and partly cloudy.

Tonight: 10C with 70% chance of rain.

#ICYMI from me for @torontodotcom - New Toronto vaccine finder launches to help residents book appointments:
https://t.co/rnAuqTknPi #COVID19 #CovidVaccine","'Toronto', 'ICYMI', 'COVID19', 'CovidVaccine'"
90270,"News about COVID-19",TRUE,"Double Jabbed. #CovidVaccine  (@TobiasOGForrest) https://t.co/Jl043EYKwK","'CovidVaccine'"
16678,"Follow @ETPanache for the latest on #fashion, #tech, #celebrities, #healthyliving, #lifelessons, #entertainment & more! A Times Internet Product",TRUE,"#Dharmendra also urged his fans to get vaccinated.

#Covidvaccine #boostershot  

https://t.co/JmqVe0e0e5","'Dharmendra', 'Covidvaccine', 'boostershot'"
68999,"Top mortgage broker, wife mother, grandmother, FreedomFighter and life lover",TRUE,"Meanwhile here in Canada, we mix doses, shoot up pregnant women, inject kids 12 and up and going for the 5 years olds next!#CovidVaccine https://t.co/ld1h5cwOWk","'CovidVaccine'"
7454,NA,TRUE,"Congratulations to all #pharmacists of Gujarat state as their hard &amp; smart work from morning to late night for supply of #CovidVaccine also maintenance of its cold chain &amp; because of that state achieved this milestone. @mdnhmgujarat @GujHFWDept @MoHFW_INDIA @PMOIndia @CMOGuj https://t.co/mNL845LbKj","'pharmacists', 'CovidVaccine'"
72039,"Manners Maketh Man :)",TRUE,"Corona after seeing !! #CovidVaccine https://t.co/3cEhhY2eVG","'CovidVaccine'"
5842,"Using Twitter to vent my anger and making angry friends along the way.",TRUE,"The celebration of all things #GenX this week has had me singing some great tunes. If only I had a Sony Walkman to play my mix-tape💃🏻 #CovidVaccine #COVIDCanada","'GenX', 'CovidVaccine', 'COVIDCanada'"
88897,"MTFBWYA, Analyst, music lover, movie buff....Part Time Pit Bull Pillow....Father.. Survivor Fan, my Stealth R Us name is The Discerning Eye",FALSE,"Most days by the time they get on every spot is already taken. Millions of people vying for 8000 doses. Disgusting… https://t.co/9budQf4nto",NA
47071,"💋 Published Pinup Model 💄 Mommy to a Little Button 💜  ✂️ Dressmaker",TRUE,"People die from covid: “VACCINATE EVERYONE”
People die from #covidvaccine: 🦗🦗🦗🦗🦗🦗","'covidvaccine'"
10082,"🇨🇦 🍁 Outdoor & animal enthusiast! Love my family my dog & Passion Fruit tea! #cdnpoli #onpoli #blacklivesmatter #humanrights #lgbtq 🏳️‍🌈",TRUE,"“Doug Ford got this pandemic all wrong”… 👇👇👇👇👇👇👇👇👇#VoteFordOut2022 #Omicron #CovidVaccine #COVID19 #onpoli @fordnation @mini_bubbly #cdnpoli https://t.co/FrK5Q6BDwR","'VoteFordOut2022', 'Omicron', 'CovidVaccine', 'COVID19', 'onpoli', 'cdnpoli'"
4406,"The biggest daily in the nation's capital",TRUE,"One in five Americans think the COVID vaccine is used to implant microchips: poll 
#covidvaccine #COVID19  https://t.co/GQIgCS2xJ5 https://t.co/tOXhG2NXRQ","'covidvaccine', 'COVID19'"
8748,"Pediatrician. My opinions are my own. She/her. @MomsDemand #Vaccinated",TRUE,"@jared_girl88 @jarpad Congratulations!!  ACOG and CDC recommend pregnant women get the #COVIDVaccine.  It protects you and provides antibodies to Sam.","'COVIDVaccine'"
49761,"Tweeting mainly on American politics🇺🇲 from a conservative Christian perspective AND on my favorite soap, #GH 🙌🙌💖",TRUE,"Given the chance of death or other complications caused by the vaccine, it should NEVER be mandated and should be a CHOICE for every human being. NO sanctions should EVER be taken against those who choose not to get it!!! #CovidVaccine https://t.co/O4P0ERrcQA","'CovidVaccine'"
20153,"Sow Something To Eat 💞 USA 🇺🇸",FALSE,"#BlackHistoryMonth ancestors allowed the descendants of the serpent seeds to inject a concoction of poison into the… https://t.co/BNEt5ZUBDO","'BlackHistoryMonth'"
42429,NA,FALSE,"#Scottythefukwit is all ab #ScottyTheAnnouncer NO follow up And #Morrison #LibDonor who owns AZ should not BE GIVEN… https://t.co/muSnnkzhbS","'Scottythefukwit', 'ScottyTheAnnouncer', 'Morrison', 'LibDonor'"
14971,"Representing health plans across NYS that provide health coverage to 7+ million New Yorkers.",TRUE,"Today's #CovidVaccine fact. @ImmuneNY https://t.co/d9nVvHTk9e","'CovidVaccine'"
97340,"Keeping kids and families healthy and safe in Red Bank Borough! #RBBisBIA #RBWell #FFVatRBPS",TRUE,"Happy faces all around! 😊@DreamBigRB @RedBankSup @rbpsEAGLES @rbmsROCKETS #covidvaccine #RBwell #wegotthis https://t.co/cyh9NO06st","'covidvaccine', 'RBwell', 'wegotthis'"
48561,"snowflakes melt",TRUE,"Percentage administered = rate your Governor. #Coronavirus #CovidVaccine #COVID19 #vaccine https://t.co/zdQhJryPKj","'Coronavirus', 'CovidVaccine', 'COVID19', 'vaccine'"
72141,"New Jersey Association of Mental Health and Addiction Agencies, Inc. (Retweets ≠ Endorsements) #mentalhealth #fightstigma",TRUE,"Click here to access a list of #CovidVaccine distribution sites: https://t.co/xHwDlmYJ7G","'CovidVaccine'"
79545,"Interests #Writing #Theatre #InteriorDesign #Cats  #Cinema #CityLiving  #Bentleys :o]",FALSE,"Soooo grateful to NHS today and volunteers here in Manchester, first dosage as I qualified under Clinical Vulnerabl… https://t.co/uOnSUv4DYo",NA
93589,"Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",TRUE,"45+ #URBAN #Bengaluru #CovidVaccine Availability for 17/01 at 09:30AM
FREE Slots 0
PAID Slots 0","'URBAN', 'Bengaluru', 'CovidVaccine'"
37858,"Human. Free Thinker. Met Mandela. Personal. Family. Community. Funded Successful Drug to prevent Latent TB..Bill Gates turned us down...he is the wanker not I..",TRUE,"You know it is a bad year when you see a sign like this.... #covid19 #CovidVaccine #Covid #usa #uk #ireland… https://t.co/M4nzcnFHLl","'covid19', 'CovidVaccine', 'Covid', 'usa', 'uk', 'ireland'"
70823,"Proud Canadian. Western Alum. Skipped school April 7th, 1977. Not a Cat #OneTermFord 🇨🇦❤️🇨🇦",TRUE,"Reminder:

Starting on Monday, December 13, 2021 at 8:00 a.m., individuals aged 50 and over will be eligible to schedule their booster dose appointment. #CovidVaccine #onpoli","'CovidVaccine', 'onpoli'"
14622,"Software Engineer || Equity Trader || Investor || Biker || Common Man || Stay Grounded || Madurai to Bangalore || RT's not endorsements || Tweets are personal😎",TRUE,"#TamilNadu #COVIDVaccination Details on 3rd July

#Age wise details of #COVID19Vaccination

18 - 44 = 73,11,326
45 - 60 = 53,10,179
Above 60 = 35,75,996
Sites Conducting #Vaccination - 1,321 (1,211 #Government + 110 #Private)

#coronavaccination #CovidVaccine #Delta","'TamilNadu', 'COVIDVaccination', 'Age', 'COVID19Vaccination', 'Vaccination', 'Government', 'Private', 'coronavaccination', 'CovidVaccine', 'Delta'"
82320,"🧟‍♂️Back To Ballin' Pt. 1 • link in bio • on all streaming platforms 1/15",FALSE,"I'm living the #healthylifestyle alerts up for #healthcare #HealthCareHeroes #healthcareworkers as we overcome 😷… https://t.co/bG4b7M5Lb6","'healthylifestyle', 'healthcare', 'HealthCareHeroes', 'healthcareworkers'"
87763,"It’s easier to fool people than to convince them they’ve been fooled",TRUE,"Conclusion: The vaccines don't prevent serious diseases, but you could potentially die from their side effects.
Wha… https://t.co/QGtEKJ47tv",NA
90323,"Leader in #HealthIT.  Let's talk about #digitaltransformation, #valuebasedcare, #ptexp, #populationhealth, #interoperability, #EHRusability, & #burnout.",FALSE,"I hope @GovChrisSununu is successful with this. The issues with VAMS could be seen coming miles away, and they can… https://t.co/8MuX4CW5Vi",NA
90156,"Connecting dots to transform health - #AI | #Biopharma | #Digitalhealth | #HIT | #MedicalDevices | #PlanetaryHealth | @medikalife @healthtechworld @HCNowRadio.",TRUE,"Which Fully Vaccinated Adults Are Most at Risk of Severe #COVID? 

#CovidVaccine #OmicronVariant 

Study examines which factors did, and didn't, play a role in risk.

https://t.co/AaLr4CGJ6D","'COVID', 'CovidVaccine', 'OmicronVariant'"
6073,"Unscripted social commentary/satire in 60 second vids/240 characters. All opinions are solely my own. RT/Follow/Enjoy. Free Speech=Democracy=Freedom 👍",TRUE,"All this talk of #CovidVaccine and key workers. Got a invite from this doctor. Press play and feel free to share it… https://t.co/0xX4DHDgfM","'CovidVaccine'"
80226,"Official Twitter for WyNG. More than 3,000 Soldiers and Airmen proudly serving Wyoming and the nation. Following doesn't equal endorsement.",FALSE,"Master Sgt. Jackie Marshall interviews Staff Sgt. Nolan Budweg, as he shares his experience about receiving the COV… https://t.co/BPYpPipp5x",NA
31406,"HFI is an NGO involved in the design and management of health and social development programs. Join us build communities of wellness!",TRUE,"(cont.) #Covidvaccine #VaccineWorks #hfi #healthfutures #ALAGAKA","'Covidvaccine', 'VaccineWorks', 'hfi', 'healthfutures', 'ALAGAKA'"
74847,"Citizen engagement platform of Government of India, giving people the opportunity to work towards Surajya with their ideas & grass root level contribution.",TRUE,"Even after getting the #COVIDVaccine, you MUST wear mask because there might be near &amp; dear ones who have not yet been #Vaccinated: Dr Randeep Guleria, Director AIIMS Delhi #IndiaFightsCorona","'COVIDVaccine', 'Vaccinated', 'IndiaFightsCorona'"
85105,"𝗧𝗵𝗲 𝗦𝗶𝘇𝘇𝗹𝗲 𝗥𝗲𝗽𝗼𝗿𝘁©️ is a member of Society of Professional Journalists @spj_tweets, Fuel The Sizzle Report: https://t.co/AjXEvx8hGV",TRUE,"♦️CNN highlighted the fact that refusing to take the coronavirus vaccine can lead to life-threatening consequences, permanent disability and death.

♦️Encourage your family, friends, co-workers &amp; neighbors to be safe &amp; get vaccinated.

#vaccinated 

#DeltaVariant #CovidVaccine https://t.co/qgLKT1Zpfr","'vaccinated', 'DeltaVariant', 'CovidVaccine'"
20350,"Santis is a leading Canadian health care consultancy. We analyze the situation, consider the environment, and develop a tailored plan to help.",TRUE,"Full list of Ontario neighbourhoods where the COVID-19 vaccine will be available to those 18+

#CovidVaccine… https://t.co/ffMNqasGKx","'CovidVaccine'"
12159,"Feral dog mom. Cat lover. Never enough coffee or books.",FALSE,"I woke up at 2:40AM Friday in a cold sweat, shaking. My temperature was 101.7F. I had a severe headache, joint pain… https://t.co/nfeHOa4mxG",NA
40012,"I'm a bot working to find CVS & Rite Aid #Vaccine appointments in California",TRUE,"223 Rite Aids show #CovidVaccine slots in CA:
Agoura Hills
Bell Gardens
Bellflower
Canyon Country
Fresno
La Crescen… https://t.co/J9prN7Y6HX","'CovidVaccine'"
36731,"https://t.co/lEQgCckyM5 brings you the latest news with 360 degree coverage across genres

Instagram: https://t.co/CZ1MfoF4fc
Download App - https://t.co/jmdM1fNC8u",TRUE,"#DNA Exclusive: Zee News Editor-in-Chief Sudhir Chaudhary analyses if WHO is biased towards #Covaxin even as Bharat Biotech awaits its approval for emergency use lisiting.

#COVIDVaccine 

https://t.co/KaHGQwIoSC","'DNA', 'Covaxin', 'COVIDVaccine'"
47096,"Plane Vanilla is India’s first online platform for aviation news. From breaking stories to flier info to airport shopping & lifestyle...you find everything here",TRUE,"The government, however, wants airlines to fly at full capacity 
#MoCA #DGCA #IndianAviation #COVID19 #CovidVaccine 
https://t.co/9KpRFH9yy5","'MoCA', 'DGCA', 'IndianAviation', 'COVID19', 'CovidVaccine'"
46803,"#OBGYN, Medical Group Leader, health advocate, #Seattle (#Everett #Mukilteo WA).UF/FSU/Vandy alum #acog #wsma #medtwitter #SoMeDocs. Vids on https://t.co/7plxg",TRUE,"I was happy to team up with @MaryLaPlanteMD and @LannyWilson14 to speak with the @AmerMedicalAssn and help dispel myths about #CovidVaccine and #pregnancy. The vaccine is safe and effective. @ACOGAction recommends it. @everettclinic @WSMA_update #MedTwitter https://t.co/xpjBEkojhw","'CovidVaccine', 'pregnancy', 'MedTwitter'"
44016,"Tweets from The Countess of Chester Hospital NHS Foundation Trust. This page is generally monitored from Monday to Friday, between 9am and 5pm.",TRUE,"Every adult in the country now needs to get a Covid-19 booster vaccine. #BoosterJab #COVIDVaccine

📅 Book online via the national booking system: https://t.co/bd5Sib871v

🚶 Or visit the walk-in  centre at Chester Cathedral: https://t.co/sM4LbGogF8 https://t.co/xiuzquXDyy","'BoosterJab', 'COVIDVaccine'"
62826,"@NHSSELondonCCG Bexley. We're clinically led and responsible for planning, buying and monitoring health services used by people in Bexley.",TRUE,"If you’re in a priority group for the #COVIDVaccine but haven’t received an appointment yet - don’t worry. You have… https://t.co/eS4vjwZDK7","'COVIDVaccine'"
62643,"Follow https://t.co/RBTHZHv1ga for breaking news from India and around the world, live cricket updates, Bollywood gossip, travel tips and latest trends.",TRUE,"ZyCoV-D will be the sixth to be added to the #CovidVaccine basket of the country. #ZydusCadila #zydus 

https://t.co/aC9hp3ABzP","'CovidVaccine', 'ZydusCadila', 'zydus'"
39987,"Financial news publisher & college lecturer. Ex-Reuters & Bloomberg https://t.co/exQye7oLJN https://t.co/UjZrSCmVh9 Husband to artist  https://t.co/7QW3ZraWC6",TRUE,".
Braveheart investee firm Paraytec reports slight delay Sheffield Covid test - Northern Financial Review… https://t.co/bmp0uQBm4v",NA
60846,NA,TRUE,"@US_FDA Any chance the American people could get a statement on the #covidvaccine PAIs and GCP inspections?","'covidvaccine'"
7477,"Programme Manager for #philanthropytech @wellcometrust. Background in infectious diseases. @pinnpatients board associate. Expert at snapping bananas. Own views",FALSE,"This is why government and policy must follow the science. And why they must change if science provides evidence to… https://t.co/rTC68QsC1y",NA
94159,"We want everyone in mid Essex to #Livewell. For us this means developing and planning services that help support our residents lead healthy, fulfilling lives.",TRUE,"If you’re aged 50 or above and haven’t received your 1st dose of the covid vaccine yet, please book an appointment… https://t.co/Ebf4NO85nq",NA
